sample,ch2_hpf_mV
0,-0.153212
1,-0.241823
2,-0.238382
3,-0.14428
4,0.005542
5,0.158414
6,0.251455
7,0.233035
8,0.131553
9,-0.012773
10,-0.150264
11,-0.247113
12,-0.2409
13,-0.142353
14,0.003989
15,0.154617
16,0.250611
17,0.234032
18,0.134348
19,-0.007178
20,-0.152535
21,-0.251849
22,-0.238153
23,-0.139062
24,0.008675
25,0.161992
26,0.258888
27,0.240032
28,0.134743
29,-0.012568
30,-0.161339
31,-0.259845
32,-0.246944
33,-0.13556
34,0.026132
35,0.171295
36,0.261154
37,0.238518
38,0.134609
39,-0.011003
40,-0.156937
41,-0.248508
42,-0.238115
43,-0.13982
44,0.010663
45,0.161718
46,0.259725
47,0.242718
48,0.132202
49,-0.017289
50,-0.160327
51,-0.250007
52,-0.236277
53,-0.136545
54,0.007516
55,0.159338
56,0.252674
57,0.236949
58,0.135737
59,-0.014771
60,-0.156701
61,-0.247301
62,-0.238188
63,-0.137303
64,0.008562
65,0.158848
66,0.259929
67,0.245782
68,0.136168
69,-0.012736
70,-0.158456
71,-0.248454
72,-0.232558
73,-0.137799
74,0.00294
75,0.15497
76,0.254006
77,0.236534
78,0.132255
79,-0.01617
80,-0.162488
81,-0.250562
82,-0.238161
83,-0.137456
84,0.012898
85,0.166559
86,0.256812
87,0.229996
88,0.125627
89,-0.01528
90,-0.155437
91,-0.244792
92,-0.234684
93,-0.135195
94,0.012917
95,0.162463
96,0.25108
97,0.226491
98,0.118869
99,-0.023525
100,-0.164178
101,-0.25633
102,-0.244097
103,-0.130326
104,0.025262
105,0.179033
106,0.265225
107,0.234414
108,0.127313
109,-0.016892
110,-0.159933
111,-0.248424
112,-0.237894
113,-0.132131
114,0.023512
115,0.173619
116,0.253732
117,0.232837
118,0.123441
119,-0.023579
120,-0.164259
121,-0.254052
122,-0.239413
123,-0.133672
124,0.016709
125,0.165704
126,0.25415
127,0.230078
128,0.123657
129,-0.021351
130,-0.162613
131,-0.250124
132,-0.232432
133,-0.130782
134,0.015233
135,0.170961
136,0.261714
137,0.239235
138,0.126805
139,-0.022985
140,-0.167357
141,-0.253396
142,-0.237007
143,-0.129713
144,0.016934
145,0.161408
146,0.251908
147,0.231514
148,0.122825
149,-0.027914
150,-0.176925
151,-0.272032
152,-0.2592
153,-0.148947
154,0.004156
155,0.153598
156,0.244187
157,0.221271
158,0.116158
159,-0.022618
160,-0.15717
161,-0.242623
162,-0.220501
163,-0.109913
164,0.040288
165,0.190599
166,0.275179
167,0.247555
168,0.136202
169,-0.012497
170,-0.155729
171,-0.240185
172,-0.227909
173,-0.129128
174,0.016402
175,0.167688
176,0.260462
177,0.235487
178,0.122523
179,-0.024524
180,-0.166955
181,-0.249117
182,-0.234144
183,-0.127405
184,0.024983
185,0.172451
186,0.257275
187,0.231749
188,0.12943
189,-0.019619
190,-0.165455
191,-0.251646
192,-0.236703
193,-0.134369
194,0.022569
195,0.177189
196,0.258794
197,0.232944
198,0.126158
199,-0.02085
200,-0.161271
201,-0.254335
202,-0.23745
203,-0.12876
204,0.020174
205,0.170221
206,0.252419
207,0.226754
208,0.113373
209,-0.034314
210,-0.171071
211,-0.251522
212,-0.235682
213,-0.128808
214,0.022249
215,0.173398
216,0.257974
217,0.233057
218,0.122944
219,-0.025436
220,-0.173851
221,-0.257894
222,-0.238257
223,-0.129598
224,0.018198
225,0.178556
226,0.269166
227,0.239561
228,0.122417
229,-0.032313
230,-0.177963
231,-0.263716
232,-0.241892
233,-0.129332
234,0.026825
235,0.175037
236,0.259995
237,0.232328
238,0.120575
239,-0.02779
240,-0.169565
241,-0.255583
242,-0.237967
