time_s,EMG1_mV,EMG2_mV,AX_g,AY_g,AZ_g,GX_dps,GY_dps,GZ_dps
160.845,-0.002125,-0.002698,0.029,0.98,0.292,-0.24,-0.3,-0.37
160.85,60.275627,-0.009237,0.029,0.98,0.289,-0.12,-0.3,-0.3
160.855,64.574684,33.179447,0.029,0.98,0.289,-0.12,-0.3,-0.3
160.86,-0.011608,-0.005313,0.031,0.98,0.29,-0.18,-0.37,-0.37
160.865,-0.009809,0.000981,0.031,0.98,0.29,-0.18,-0.37,-0.37
160.87,41.455978,-0.005518,0.03,0.982,0.29,-0.24,-0.37,-0.3
160.875,-0.002125,49.239677,0.03,0.982,0.29,-0.24,-0.37,-0.3
160.88,0.000654,-0.016022,0.033,0.982,0.292,-0.18,-0.37,-0.3
160.885,-0.001349,-0.01827,0.033,0.982,0.292,-0.18,-0.37,-0.3
160.89,1.84585,-0.014346,0.032,0.98,0.289,-0.3,-0.3,-0.3
160.895,0.008665,23.252762,0.032,0.98,0.289,-0.3,-0.3,-0.3
160.9,-0.009033,0.0,0.029,0.98,0.289,-0.18,-0.3,-0.24
160.905,-0.010381,-0.007684,0.029,0.98,0.289,-0.18,-0.3,-0.24
160.91,58.479717,-0.004986,0.029,0.979,0.287,-0.18,-0.37,-0.43
160.915,52.703068,1.538331,0.029,0.979,0.287,-0.18,-0.37,-0.43
160.92,-0.011608,-0.004986,0.032,0.98,0.291,-0.24,-0.3,-0.3
160.925,-0.010259,-0.008338,0.032,0.98,0.291,-0.24,-0.3,-0.3
160.93,51.433102,-0.006539,0.031,0.981,0.291,-0.18,-0.37,-0.3
160.935,54.511398,1.740973,0.031,0.981,0.291,-0.18,-0.37,-0.3
160.94,0.000654,11.360142,0.03,0.979,0.289,-0.24,-0.37,-0.3
160.945,-0.001921,-0.008706,0.03,0.979,0.289,-0.24,-0.37,-0.3
160.95,6.496729,-0.011076,0.031,0.981,0.292,-0.18,-0.37,-0.3
160.955,23.829216,0.137901,0.031,0.981,0.292,-0.18,-0.37,-0.3
160.96,0.004986,4.001182,0.028,0.981,0.291,-0.24,-0.3,-0.37
160.965,-0.003597,-0.003597,0.028,0.981,0.291,-0.24,-0.3,-0.37
160.97,-0.004046,-0.002044,0.031,0.982,0.291,-0.24,-0.3,-0.37
160.975,5.238043,0.243841,0.031,0.982,0.291,-0.24,-0.3,-0.37
160.98,-0.012302,2.739716,0.03,0.982,0.289,-0.18,-0.3,-0.37
160.985,-0.009727,-0.015899,0.03,0.982,0.289,-0.18,-0.3,-0.37
160.99,-0.009482,-0.017166,0.031,0.982,0.292,-0.37,-0.37,-0.3
160.995,27.790668,-0.012752,0.031,0.982,0.292,-0.37,-0.37,-0.3
161.0,-0.014673,4.654803,0.03,0.982,0.291,-0.37,-0.37,-0.37
161.005,-0.011158,-0.013202,0.03,0.982,0.291,-0.37,-0.37,-0.37
161.01,59.74527,-0.013774,0.03,0.98,0.292,-0.18,-0.37,-0.37
161.015,65.315193,-0.015695,0.03,0.98,0.292,-0.18,-0.37,-0.37
161.02,0.002289,39.137157,0.03,0.98,0.289,-0.24,-0.3,-0.24
161.025,-0.002248,-0.015572,0.03,0.98,0.289,-0.24,-0.3,-0.24
161.03,59.990665,-0.013529,0.032,0.981,0.288,-0.3,-0.37,-0.24
161.035,66.254761,-0.010831,0.032,0.981,0.288,-0.3,-0.37,-0.24
161.04,0.001226,37.838909,0.032,0.983,0.292,-0.24,-0.3,-0.3
161.045,-0.006417,-0.019414,0.032,0.983,0.292,-0.24,-0.3,-0.3
161.05,3.375598,-0.013978,0.031,0.98,0.291,-0.18,-0.3,-0.37
161.055,57.242287,-0.019414,0.031,0.98,0.291,-0.18,-0.3,-0.37
161.06,-0.011076,33.694103,0.029,0.981,0.291,-0.24,-0.37,-0.37
161.065,-0.01218,-0.003965,0.029,0.981,0.291,-0.24,-0.37,-0.37
161.07,0.243269,-0.005313,0.031,0.981,0.291,-0.24,-0.37,-0.37
161.075,0.796999,-0.009237,0.031,0.981,0.291,-0.24,-0.37,-0.37
161.08,-0.015,51.770454,0.031,0.981,0.291,-0.3,-0.37,-0.3
161.085,-0.011526,-0.009237,0.031,0.981,0.291,-0.3,-0.37,-0.3
161.09,-0.011526,-0.005436,0.032,0.981,0.291,-0.24,-0.3,-0.3
161.095,31.129076,-0.012997,0.032,0.981,0.291,-0.24,-0.3,-0.3
161.1,17.553604,-143.435959,0.03,0.983,0.29,-0.06,-0.3,-0.3
161.105,-0.002248,-0.019986,0.03,0.983,0.29,-0.06,-0.3,-0.3
161.11,-0.007561,-0.016022,0.031,0.982,0.29,-0.24,-0.3,-0.18
161.115,52.933094,-0.019986,0.031,0.982,0.29,-0.24,-0.3,-0.18
161.12,51.269859,46.585873,0.032,0.979,0.29,-0.3,-0.3,-0.24
161.125,-0.001471,-0.01827,0.032,0.979,0.29,-0.3,-0.3,-0.24
161.13,0.004986,-0.016022,0.032,0.982,0.29,-0.18,-0.37,-0.37
161.135,63.785202,-0.014918,0.032,0.982,0.29,-0.18,-0.37,-0.37
161.14,-0.007888,44.595337,0.032,0.982,0.291,-0.12,-0.37,-0.3
161.145,-0.002044,-0.022561,0.032,0.982,0.291,-0.12,-0.37,-0.3
161.15,12.77831,-0.015899,0.031,0.983,0.291,-0.24,-0.37,-0.24
161.155,21.868107,-0.016267,0.031,0.983,0.291,-0.24,-0.37,-0.24
161.16,-0.007112,29.246113,0.031,0.98,0.29,-0.3,-0.37,-0.24
161.165,-0.012425,0.002371,0.031,0.98,0.29,-0.3,-0.37,-0.24
161.17,5.988775,-0.007234,0.029,0.981,0.291,-0.18,-0.37,-0.3
161.175,4.100173,-0.006866,0.029,0.981,0.291,-0.18,-0.37,-0.3
161.18,-0.254754,30.288506,0.029,0.981,0.291,-0.18,-0.37,-0.3
161.185,-0.001022,0.02346,0.03,0.982,0.289,-0.18,-0.3,-0.24
161.19,-0.004619,-0.01782,0.03,0.982,0.289,-0.18,-0.3,-0.24
161.195,61.071888,-0.012997,0.031,0.98,0.289,-0.37,-0.3,-0.24
161.2,3.097507,9.481839,0.031,0.98,0.289,-0.37,-0.3,-0.24
161.205,-0.000695,0.006213,0.03,0.982,0.29,-0.3,-0.37,-0.3
161.21,-0.000245,-0.007888,0.03,0.982,0.29,-0.3,-0.37,-0.3
161.215,64.186806,-0.004619,0.031,0.983,0.29,0.0,-0.3,-0.3
161.22,54.001888,0.309399,0.031,0.983,0.29,0.0,-0.3,-0.3
161.225,-0.004619,1.997076,0.032,0.981,0.289,-0.12,-0.37,-0.3
161.23,0.004823,-0.016471,0.032,0.981,0.289,-0.12,-0.37,-0.3
161.235,52.51432,-0.019741,0.031,0.983,0.291,-0.37,-0.37,-0.24
161.24,66.778725,0.481551,0.031,0.983,0.291,-0.37,-0.37,-0.24
161.245,-0.01218,15.827671,0.033,0.982,0.294,-0.37,-0.49,-0.3
161.25,-0.011281,-0.007234,0.033,0.982,0.294,-0.37,-0.49,-0.3
161.255,-0.008011,-0.001676,0.03,0.981,0.29,-0.06,-0.3,-0.3
161.26,22.796631,0.018883,0.03,0.981,0.29,-0.06,-0.3,-0.3
161.265,-0.008133,7.037626,0.031,0.981,0.292,-0.06,-0.3,-0.3
161.27,-0.011526,-0.002616,0.031,0.981,0.292,-0.06,-0.3,-0.3
161.275,-0.009932,-0.00891,0.032,0.979,0.29,-0.3,-0.37,-0.3
161.28,9.69568,0.060245,0.032,0.979,0.29,-0.3,-0.37,-0.3
161.285,3.049278,4.110146,0.031,0.979,0.288,-0.37,-0.37,-0.24
161.29,-0.006866,-0.020763,0.031,0.979,0.288,-0.37,-0.37,-0.24
161.295,-0.008256,-0.017738,0.03,0.981,0.288,-0.24,-0.3,-0.24
161.3,25.332808,-0.01737,0.03,0.981,0.288,-0.24,-0.3,-0.24
161.305,-0.008583,39.871544,0.031,0.982,0.288,-0.06,-0.37,-0.24
161.31,-0.011608,-0.002371,0.031,0.982,0.288,-0.06,-0.37,-0.24
161.315,61.315075,-0.00609,0.031,0.978,0.291,-0.3,-0.37,-0.24
161.32,59.171921,-0.009809,0.031,0.978,0.291,-0.3,-0.37,-0.24
161.325,-0.014673,51.154194,0.032,0.982,0.289,-0.37,-0.37,-0.37
161.33,-0.009155,-0.00282,0.032,0.982,0.289,-0.37,-0.37,-0.37
161.335,24.266298,-0.004986,0.033,0.981,0.289,-0.12,-0.24,-0.3
161.34,57.675854,-0.00327,0.033,0.981,0.289,-0.12,-0.24,-0.3
161.345,0.000981,50.956291,0.03,0.98,0.289,-0.12,-0.3,-0.3
161.35,-0.00282,-0.018719,0.03,0.98,0.289,-0.12,-0.3,-0.3
161.355,-0.000327,-0.016717,0.031,0.983,0.29,-0.43,-0.37,-0.3
161.36,23.666546,-0.013774,0.031,0.983,0.29,-0.43,-0.37,-0.3
161.365,-0.00846,47.09473,0.03,0.981,0.291,-0.37,-0.37,-0.37
161.37,-0.013079,-0.017289,0.03,0.981,0.291,-0.37,-0.37,-0.37
161.375,-0.006417,-0.013978,0.031,0.981,0.289,-0.12,-0.37,-0.37
161.38,15.188844,-0.016594,0.031,0.981,0.289,-0.12,-0.37,-0.37
161.385,-0.010954,43.628887,0.03,0.982,0.289,-0.18,-0.3,-0.37
161.39,-0.006662,-0.022929,0.03,0.982,0.289,-0.18,-0.3,-0.37
161.395,-0.006989,-0.018719,0.029,0.98,0.291,-0.3,-0.37,-0.37
161.4,31.332047,-0.015368,0.029,0.98,0.291,-0.3,-0.37,-0.37
161.405,-0.005518,-138.976852,0.031,0.982,0.289,-0.24,-0.43,-0.37
161.41,-0.00609,-0.017166,0.031,0.982,0.289,-0.24,-0.43,-0.37
161.415,-0.009482,-0.016921,0.031,0.98,0.289,-0.06,-0.37,-0.3
161.42,43.920712,-0.016717,0.031,0.98,0.289,-0.06,-0.37,-0.3
161.425,0.091389,46.1371,0.03,0.981,0.29,0.06,-0.24,-0.18
161.43,-0.010259,-0.017738,0.03,0.981,0.29,0.06,-0.24,-0.18
161.435,-0.010259,-0.021008,0.029,0.983,0.289,-0.24,-0.37,-0.3
161.44,48.622025,-0.013978,0.029,0.983,0.289,-0.24,-0.37,-0.3
161.445,33.073021,34.400372,0.03,0.98,0.291,-0.24,-0.37,-0.24
161.45,-0.011608,-0.017044,0.03,0.98,0.291,-0.24,-0.37,-0.24
161.455,-0.010627,-0.017044,0.029,0.981,0.29,-0.18,-0.3,-0.3
161.46,55.823956,-0.017616,0.029,0.981,0.29,-0.18,-0.3,-0.3
161.465,64.5634,13.453185,0.029,0.981,0.291,-0.18,-0.37,-0.43
161.47,-0.010259,-0.022234,0.029,0.981,0.291,-0.18,-0.37,-0.43
161.475,-0.009809,-0.013774,0.032,0.981,0.289,-0.12,-0.37,-0.3
161.48,53.829906,-0.017166,0.032,0.981,0.289,-0.12,-0.37,-0.3
161.485,66.863991,17.682512,0.033,0.981,0.29,-0.3,-0.3,-0.37
161.49,-0.000899,-0.020436,0.033,0.981,0.29,-0.3,-0.3,-0.37
161.495,0.002452,-0.017738,0.031,0.981,0.289,-0.3,-0.37,-0.3
161.5,27.422007,-0.015368,0.031,0.981,0.289,-0.3,-0.37,-0.3
161.505,-0.011608,38.165882,0.032,0.983,0.287,-0.06,-0.37,-0.3
161.51,-0.013774,-0.023828,0.032,0.983,0.287,-0.06,-0.37,-0.3
161.515,-0.008338,-0.016471,0.031,0.983,0.289,-0.12,-0.37,-0.37
161.52,2.080618,-0.016798,0.031,0.983,0.289,-0.12,-0.37,-0.37
161.525,0.001471,18.194962,0.031,0.982,0.289,-0.3,-0.37,-0.3
161.53,-0.010054,0.756128,0.031,0.982,0.289,-0.3,-0.37,-0.3
161.535,-0.010054,-0.023379,0.03,0.981,0.288,-0.24,-0.43,-0.3
161.54,53.41293,-0.016921,0.03,0.981,0.288,-0.24,-0.43,-0.3
161.545,27.133043,4.717745,0.031,0.982,0.289,-0.12,-0.37,-0.3
161.55,-0.00282,0.106594,0.031,0.982,0.289,-0.12,-0.37,-0.3
161.555,-0.001471,-0.008256,0.031,0.981,0.291,-0.12,-0.3,-0.3
161.56,66.851891,-0.006417,0.031,0.981,0.291,-0.12,-0.3,-0.3
161.565,47.078705,0.000327,0.033,0.985,0.291,-0.24,-0.37,-0.18
161.57,-0.012997,9.133285,0.033,0.985,0.291,-0.24,-0.37,-0.18
161.575,-0.007357,-0.012629,0.031,0.981,0.289,-0.24,-0.37,-0.24
161.58,41.957722,-0.016798,0.031,0.981,0.289,-0.24,-0.37,-0.24
161.585,60.101429,0.001144,0.031,0.981,0.289,-0.24,-0.3,-0.3
161.59,-0.012425,7.208388,0.031,0.981,0.289,-0.24,-0.3,-0.3
161.595,-0.007561,-0.004864,0.033,0.982,0.289,-0.24,-0.3,-0.24
161.6,0.11534,-0.007561,0.033,0.982,0.289,-0.24,-0.3,-0.24
